DCS_TAG,TagComment,Type,ITEM,ItemComment,RangeHI,RangeLO,UNIT,DataType,Array1,Array2,MarType,Process,VM_UNIT,VAR,VMArray1
S063TZTM00317,'LL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2602,B,22
S063XZAF00309,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S2602,B,20
S150ESOC00030,'ESV,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203301S2101,B,30
S146ESMS00051,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203301S2101,B,20
S146ESOC00051,'ESV,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203301S2101,B,18
SCS2101DO,'WATCH,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203501S2101,B,29
S142XZTE10002,'TEST,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203701S2101,B,16
S146XZAK16107,'ALARM,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB210501S2103,B,28
S146XZAK26106,'ALARM,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB210901S2103,B,31
S146VSAK05103B,'ALARM,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB210901S2103,B,25
S146SDCT10007,'SDV,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB211501S2103,B,21
S146SDCC10007,'SDV,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB211501S2103,B,20
,,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213301S2103,B,32
S146UZRS03162B,RESET,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213301S2103,B,27
S146UZRS03161A,RESET,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213301S2103,B,19
S146UZRS03151B,RESET,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213301S2103,B,17
S146XZMS26106,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213501S2103,B,4
S146XZMS16107,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB213501S2103,B,3
S146TZAH10013,'HH,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB206301S2111,B,23
S163TZMS00163,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB208901S2119,B,12
S063XZTC00309,'TEST,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203101S2602,B,32
S063LZMS00119,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203301S2602,B,8
S063XZTE00509,'TEST,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB201701S2608,B,12
S063XZTC00507,'TEST,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB201701S2608,B,9
S063UZRS03006,RESET,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB202301S2611,B,3
S063TZMS00311,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB203701S2620,B,17
S047HSAK00205,'ACK,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB200901S3103,B,32
S063TZAH01045,'HH,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB200901S3103,B,22
S047HSMS00205,'MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB200901S3103,B,15
S060HSAK00132B,'ACK,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB207101S1701,B,12
